"=== SERVICE FEE SUMMARY - Juli 2025 ==="

"HOTEL BOOKINGS"
"Total Bookings",142
"Total Transaction Amount","Rp 193.795.120"
"Total Service Fee","Rp 1.937.961"
"Average Fee per Booking","Rp 13.648"

"FLIGHT BOOKINGS"
"Total Bookings",165
"Total Transaction Amount","Rp 236.077.260"
"Total Service Fee","Rp 2.360.773"
"Average Fee per Booking","Rp 14.308"

TOTAL
"Total All Bookings",307
"Total Transaction Amount","Rp 429.872.380"
"Total Service Fee","Rp 4.298.734"
"Average Fee Percentage",1.00%

"BILLING SUMMARY"
"Subtotal Service Fee","Rp 4.298.734"
"VAT (11%)","Rp 472.861"
"TOTAL TAGIHAN","Rp 4.771.595"
