Rank,"Hotel Name","Total Bookings","Total Transaction Amount (Rp)","Total Service Fee (Rp)"
1,CLARO,16,28.724.870,287.250
2,"Zenith Premiere Hotel Baubau Deluxe",11,12.856.250,128.564
3,"Horison Plaza Inn Kendari Deluxe",6,9.774.045,97.742
4,Louis,6,9.558.528,95.585
5,"MYKO Hotel & Convention Center Makassar Premier",3,6.896.250,68.963
6,"MARYAM PALACE HOTEL SOPPENG",5,5.400.000,54.000
7,"ibis Styles Bandung Grand Central Superior With 1",2,5.199.919,52.000
8,"Zenith Premiere Hotel Baubau Superior",6,4.854.900,48.550
9,"Helios Hotel and Convention Executive Royal Double Or",3,4.699.080,46.991
10,"ibis Surabaya City Center Standard With 1",3,4.324.998,43.250
